id,title,text,label
29,Scientists Sequence Genome of Ancient Woolly Mammoth,Researchers have successfully sequenced a near-complete genome from a 700000-year-old woolly mammoth discovered in Siberia providing unprecedented insights into the evolutionary history of these extinct giants.,REAL
30,Hollywood Celebrities Are Secretly Lizard People,A former Hollywood insider has come forward with irrefutable video evidence showing several A-list celebrities briefly transforming into reptilian humanoids. This confirms theories that shape-shifting aliens control the entertainment industry.,FAKE
31,Amazon Reports Record Quarterly Profits,Amazon reported its highest quarterly profit ever in Q3 with net income of 9.9 billion dollars driven by strong growth in its cloud computing division AWS and improved efficiency across its retail operations.,REAL
32,Chemtrails Are Government Mind Control Program,Aviation experts and former Air Force pilots have confirmed that the white trails left by aircraft known as chemtrails contain mind-control chemicals being sprayed on the population under orders from the New World Order.,FAKE
33,WHO Approves First Dengue Fever Vaccine,The World Health Organization has prequalified the first dengue fever vaccine TAK-003 developed by Takeda Pharmaceutical marking a significant step forward in the fight against a disease that affects 400 million people annually.,REAL
34,Drinking Urine Cures All Diseases Ancient Secret,An ancient remedy known to shamans for thousands of years but suppressed by modern medicine proves that drinking one's own urine every morning cures diabetes cancer arthritis and virtually all known diseases within 90 days.,FAKE
35,China Overtakes US as World's Largest Economy,Based on purchasing power parity calculations the International Monetary Fund data shows that China has overtaken the United States to become the world's largest economy representing about 19% of global GDP.,REAL
36,Elvis Presley Spotted Working at Walmart in Tennessee,A grocery store customer claims to have had a long conversation with Elvis Presley who is reportedly alive and working as a night shift cashier at a Walmart in Memphis Tennessee under the name Bob Smith.,FAKE
37,Scientists Grow Human Mini Kidney in Lab,Researchers at the Cincinnati Children's Hospital Medical Center have grown functioning miniature kidneys from human stem cells that successfully filter blood mimicking real kidney function offering hope for future transplant alternatives.,REAL
38,Democrats Installing Antifa Soldiers in US Military,Internal military documents obtained by conservative journalists reveal that the Biden administration has secretly embedded over 50000 Antifa operatives into all branches of the United States military in preparation for a coup.,FAKE
39,Solar Power Becomes World's Largest Electricity Source,The International Energy Agency projects that solar photovoltaic systems will become the world's largest source of electricity by 2027 due to rapidly declining costs and massive global investment in renewable energy.,REAL
40,Bigfoot DNA Finally Confirmed by Scientists,A team of geneticists at Cambridge University has confirmed DNA samples collected in the Pacific Northwest definitively prove the existence of Bigfoot. The creature is reportedly a previously unknown primate species.,FAKE
41,WHO Reports Global Tuberculosis Deaths Declining,The World Health Organization's annual tuberculosis report shows a steady decline in TB-related deaths globally with improved diagnostics treatment access and prevention programs saving an estimated 75 million lives since 2000.,REAL
42,Deep State Assassinated Multiple US Presidents,Newly declassified documents from the National Archives confirm that every US president who died in office was assassinated by a secret group within the government known as the Deep State to prevent exposure of their operations.,FAKE
43,Meta Launches New AI Assistant Across All Platforms,Meta has integrated its latest AI assistant across Facebook Instagram and WhatsApp allowing users to ask questions generate images and get personalized recommendations using advanced large language model technology.,REAL
44,The Earth Is Actually Flat NASA Has Been Lying,Former NASA engineer turned whistleblower has released thousands of pages of classified documents proving that the Earth is completely flat and that space travel is entirely simulated using advanced CGI and green screen technology.,FAKE
45,New Antibiotic Effective Against Drug-Resistant Bacteria,Researchers have discovered a new class of antibiotic called clovibactin derived from soil bacteria that is effective against several drug-resistant strains including MRSA and represents the first new antibiotic class in decades.,REAL
46,Obama Born in Kenya Secret Documents Prove,A Pakistani intelligence source has provided birth certificate documents proving Barack Obama was actually born in Mombasa Kenya and his entire life story including his Hawaii birth was fabricated by the CIA.,FAKE
47,UK Announces Ban on Single-Use Plastics,The United Kingdom has implemented a ban on single-use plastics including plates cutlery and polystyrene cups as part of its environmental strategy to reduce plastic waste and pollution in oceans and waterways.,REAL
48,Hollywood Using Satanic Rituals in Award Ceremonies,Former Grammy award ceremony production staff have revealed that all major Hollywood award shows incorporate secret Satanic rituals during commercial breaks as part of a deal made with demonic forces to achieve fame and success.,FAKE
49,First Patient Receives Gene Therapy for Sickle Cell Disease,A breakthrough medical treatment using CRISPR gene editing has successfully treated a patient with sickle cell disease with early results showing complete remission of symptoms in what doctors describe as a potential cure.,REAL
50,Vaccines Contain Aborted Baby Parts Scientists Confirm,Independent laboratory analysis conducted by anti-vaccine researchers has confirmed that all childhood vaccines contain tissue harvested from aborted fetuses as a key ingredient to program children's immune systems for future exploitation.,FAKE
51,Canada Legalizes Single Family Zoning Reform Nationwide,Canada has passed landmark legislation allowing multi-family housing to be built on land previously zoned exclusively for single-family homes in an effort to address the severe housing affordability crisis in major cities.,REAL
52,Obama Administration Secretly Funded ISIS With Taxpayer Money,Leaked State Department emails obtained through a Freedom of Information request show that senior Obama administration officials authorized the transfer of 6 billion dollars in taxpayer funds to ISIS leadership in Syria in 2014.,FAKE
53,South Korea Sees Fastest Internet Speeds in World,South Korea continues to lead global rankings in average internet connection speeds with consumers experiencing average download speeds of over 200 Mbps according to the latest Speedtest Global Index report.,REAL
54,Pope Francis Is a Communist Agent Says Vatican Insider,A senior Vatican cardinal speaking anonymously has confirmed that Pope Francis is a trained communist agent placed in the Vatican by leftist forces in Latin America to undermine the Catholic Church from within.,FAKE
55,AI Beats Human Experts at Detecting Skin Cancer,An artificial intelligence system developed by Stanford University dermatologists has demonstrated the ability to detect skin cancer from photographs with accuracy matching or exceeding that of board-certified dermatologists.,REAL
56,Clinton Foundation Runs Child Trafficking Ring From Pizza Shop,Investigative journalists have uncovered irrefutable evidence that the Clinton Foundation operates a massive child trafficking network out of a Washington DC pizza restaurant using secret tunnels to transport victims nationwide.,FAKE
57,Major Banks Agree to Climate Disclosure Requirements,A coalition of major global banks including JPMorgan Goldman Sachs and HSBC have agreed to new climate-related financial disclosure requirements to report on their exposure to climate risks and financed emissions.,REAL
58,Tony Fauci Admitted Creating COVID in Secret Podcast,Dr. Anthony Fauci made shocking admissions about creating the coronavirus in a secret podcast recording obtained exclusively by this outlet in which he laughs about fooling the public about the lab leak theory.,FAKE
59,India Surpasses China as Most Populous Country,The United Nations Population Fund confirmed that India has surpassed China to become the world's most populous country with an estimated population of 1.429 billion people representing a historic demographic shift.,REAL
60,Walmart Installing Facial Recognition to Track Shoppers,Walmart has secretly installed facial recognition cameras in all its stores that scan every shopper's face and share the data with federal law enforcement and foreign governments including China and Russia.,FAKE
61,Scientists Detect Gravitational Waves From Colliding Neutron Stars,An international team of astronomers detected gravitational waves from two colliding neutron stars for the first time simultaneously observing the event in visible light confirming theories about the origin of gold and other heavy elements.,REAL
62,Drinking Apple Cider Vinegar Reverses Type 2 Diabetes,A revolutionary discovery by alternative health researchers has proven that drinking two tablespoons of apple cider vinegar before each meal completely reverses Type 2 diabetes in 100% of cases within 30 days.,FAKE
63,European Union Passes Landmark Digital Privacy Law,The European Union has enacted comprehensive new digital privacy regulations requiring technology companies to obtain explicit user consent before collecting personal data and allowing citizens to request deletion of their information.,REAL
64,Soros and Gates Planning Global Digital Currency Takeover,An alliance between George Soros and Bill Gates has been uncovered that involves replacing all national currencies with a single digital currency they control giving them the power to turn off anyone's money at will.,FAKE
65,Astronomers Discover Earth-Like Planet in Habitable Zone,NASA's Kepler Space Telescope has identified an Earth-sized planet orbiting within the habitable zone of a nearby star where liquid water could potentially exist on the surface making it a promising candidate for life.,REAL
66,Secret Cabal of Bankers Controls Global Weather,Swiss researchers have discovered that a secret network of 14 ultra-wealthy banking families controls all weather modification technology and has been deliberately causing floods droughts and hurricanes to profit from disaster relief contracts.,FAKE
67,WHO Reports Record Low Childhood Mortality Rates,The World Health Organization reported that global under-five mortality rates have reached their lowest point in recorded history declining from 93 deaths per 1000 live births in 1990 to 38 in 2019.,REAL
68,QAnon Reveals Democrats Are Running Underground Tunnels,New QAnon drops have revealed detailed maps of underground tunnels running between the homes of prominent Democratic politicians being used to transport children stolen from their families for use in Satanic rituals.,FAKE
69,Scientists Create Biodegradable Plastic From Seaweed,Researchers at the University of Washington have developed a fully biodegradable plastic alternative made from seaweed that decomposes within weeks in the ocean representing a potential solution to marine plastic pollution.,REAL
70,Leaked Emails Show Fauci Planned Pandemic Years in Advance,Thousands of emails obtained through a whistleblower at the NIH prove that Anthony Fauci collaborated with Chinese military scientists to plan the COVID-19 pandemic years in advance in order to sell vaccines and increase government control.,FAKE
71,New HIV Treatment Achieves Functional Cure in Trials,A combination therapy using broadly neutralizing antibodies has achieved what researchers describe as a functional cure for HIV in early clinical trials with patients maintaining undetectable viral loads without antiretroviral drugs.,REAL
72,George Washington Was Actually a Freemason Spy for Britain,Newly translated letters discovered in the British National Archives reveal that George Washington was a paid British spy who deliberately lost key battles to ensure that the United States would remain dependent on England.,FAKE
73,Japan Successfully Tests Flying Car Technology,A Japanese startup has conducted successful test flights of a manned electric flying car demonstrating stable flight at low altitudes paving the way for urban air mobility transportation in dense Japanese cities.,REAL
74,Reptilian Alien Hillary Clinton Caught Shape-Shifting on Live TV,High-definition footage analyzed frame-by-frame by alien researchers clearly shows Hillary Clinton momentarily transforming into her true reptilian alien form during a live television interview with CNN anchor Wolf Blitzer.,FAKE
75,EU Court Rules Against Apple in Tax Case,The European Court of Justice upheld a ruling that Apple must repay 13 billion euros in back taxes to Ireland finding that the company had received illegal state aid through preferential tax arrangements dating back decades.,REAL
76,Disney Movies Contain Hidden Messages Promoting Satanism,Former Disney animator has revealed that all Disney animated films contain hundreds of hidden subliminal messages promoting Satanism and sexual perversion deliberately embedded by animators who worship the devil.,FAKE
77,Scientists Sequence First Complete Human Genome,For the first time researchers have produced a truly complete sequence of a human genome filling in the remaining 8% of previously unsequenced DNA containing important repetitive regions and significantly advancing genetic research.,REAL
78,COVID Vaccines Contain Luciferase to Mark Vaccinated People,COVID-19 vaccines secretly contain an enzyme called Luciferase named after Lucifer that creates a detectable mark under UV light allowing governments and the Antichrist to identify those who have taken the mark of the beast.,FAKE
79,Tesla Autopilot Improves Safety Record in Annual Report,Tesla's annual safety report shows vehicles using Autopilot driver assistance recorded significantly fewer accidents per miles driven compared to the national average for conventional vehicles without driver assistance technology.,REAL
80,Ancient Pyramids Are Actually Nuclear Power Plants,Suppressed archaeological evidence including documents found in a hidden chamber beneath the Great Sphinx proves that ancient Egyptians built the pyramids as nuclear power plants using technology given to them by time travelers.,FAKE
81,UK's National Health Service Trials AI Diagnostic Tool,Britain's NHS has begun large-scale trials of an artificial intelligence diagnostic tool that analyzes patient symptoms and medical history to suggest potential diagnoses helping reduce waiting times in busy emergency departments.,REAL
82,Elon Musk Is a Deep State Operative Says Insider,A former SpaceX engineer turned whistleblower has revealed that Elon Musk is a deep state operative whose entire business empire is secretly funded by the CIA to develop surveillance technology and control public discourse.,FAKE
83,World Bank Reports Global Poverty Rate at Historic Low,The World Bank reports that the global extreme poverty rate has fallen to its lowest point in recorded history with less than 10% of the world's population now living on less than 2.15 dollars per day.,REAL
84,Ancient Egyptians Had Electricity Using Dendera Light Bulbs,Carvings discovered in the Dendera Temple complex in Egypt clearly depict working electric light bulbs being used in ancient Egypt proving that an advanced civilization with electrical technology existed thousands of years ago.,FAKE
85,Breakthrough in Nuclear Fusion Reactor Announced,Scientists at the National Ignition Facility announced a major breakthrough achieving ignition in a nuclear fusion reaction for the first time producing more energy from fusion than the laser energy used to start the reaction.,REAL
86,Hollywood Actor Reveals Shape-Shifting Reptiles Run Studios,A prominent Hollywood actor speaking under protection of anonymity has revealed that all major film studio executives are in fact shape-shifting reptilian aliens from the Draco constellation who feed on human fear and creativity.,FAKE
87,New Research Links Air Pollution to Dementia Risk,A large-scale study published in the BMJ found a significant association between long-term exposure to air pollution particularly fine particulate matter and an increased risk of developing dementia in later life.,REAL
88,Nostradamus Predicted COVID-19 Vaccine Deaths in 1554,A newly translated Nostradamus prophecy from 1554 has been discovered that precisely predicts the mass deaths that will be caused by COVID-19 vaccines in 2024 naming specific countries and exact death tolls.,FAKE
89,Meta Ordered to Pay Record Fine for Privacy Violations,Ireland's Data Protection Commission ordered Meta to pay a record 1.2 billion euro fine for violating European Union privacy rules by transferring European users' personal data to the United States without adequate protections.,REAL
90,Ancient Sumerian Tablets Prove Annunaki Created Humans,Newly translated Sumerian clay tablets discovered in Iraq contain detailed instructions from alien beings called the Annunaki explaining how they genetically engineered modern humans from primitive apes as a slave race to mine gold.,FAKE
91,Scientists Revive Cells From 28000-Year-Old Mammoth,Japanese researchers have successfully revived cell nuclei from a 28000-year-old woolly mammoth found in Siberian permafrost with some cells showing biological activity that could eventually lead to de-extinction of the species.,REAL
92,Government Using Smart TVs to Spy on Citizens,Documents obtained from a government whistleblower reveal that intelligence agencies have deployed spyware on all Samsung and LG smart televisions manufactured after 2015 that records all conversations in your home.,FAKE
93,WHO Reports Malaria Cases Declining Globally,The World Health Organization's World Malaria Report shows that global malaria deaths declined significantly over the past two decades from over 900000 deaths in 2000 to around 627000 in 2020 due to prevention and treatment efforts.,REAL
94,Anthony Fauci Arrested at Secret Government Tribunal,Anthony Fauci was secretly arrested and tried before a military tribunal at Guantanamo Bay for crimes against humanity related to COVID-19. He was found guilty and executed. A body double is currently impersonating him publicly.,FAKE
95,First Successful Pig-to-Human Kidney Transplant Completed,Surgeons at NYU Langone Health successfully transplanted a genetically modified pig kidney into a human patient demonstrating that it functioned normally for 32 days providing hope for addressing the critical shortage of donor organs.,REAL
96,Rothschild Family Controls All Central Banks and Media,Through an intricate network of shell companies and secret trusts the Rothschild banking family has gained complete control over all central banks in 165 countries as well as ownership of every major newspaper and television network.,FAKE
97,Scientists Confirm Microplastics Found in Human Blood,Dutch researchers published findings in Environment International journal confirming the detection of microplastic particles in human blood samples for the first time raising concerns about potential health effects of microplastic pollution.,REAL
98,Trump Will Reveal Alien Technology After Winning Election,Insider sources close to Donald Trump's campaign have confirmed that Trump possesses classified documents proving the government has been reverse-engineering alien spacecraft and plans to reveal this technology within 90 days of being elected.,FAKE
99,Largest Marine Protected Area Created in Antarctic Waters,The Commission for the Conservation of Antarctic Marine Living Resources established the world's largest marine protected area in East Antarctic waters covering 1.07 million square kilometers to protect unique ecosystems.,REAL
100,Walking Barefoot on Grass Cures Cancer Through Earthing,Thousands of documented cases from around the world prove that walking barefoot on grass for 30 minutes daily eliminates all forms of cancer within six months through a process called earthing that recharges the body's electrons.,FAKE
